,Ajoie,Bern,Biel,Bouveret,Bulle,Carouge,Châtel St Denis,Crans-Montana,Delémont,Ecublens,Fribourg,Gd Saconnex (GE),Genève Eaux Vives,Genève,Grindenwald,Gstaad,La Chaux de Fonds,Langnau,Lau,Lausanne,Le Locle,Les Diablerets,Meyrin,Monthey,Montreux,Morges,Moutier,Mézières,Neuchâtel,Nyon,Parlement Berne,Porrentruy,Port Valais,Servette,Servion,Sierre,Sion,St Maurice,Sâles  (FR),Thyon 2000,Tigers,Torgon,Vallée Joux,Vevey,Viège,Yverdon,Zinal,Zürich
Ajoie,0.0,111.75,71.374,214.194,169.748,212.732,185.86,294.172,27.968,147.072,143.055,198.431,203.606,202.053,182.965,195.03,62.184,141.66,160.559,151.752,70.986,234.822,202.54,221.181,198.899,151.669,40.464,162.075,81.625,180.123,115.519,2.019,214.143,202.996,164.877,280.24,265.222,227.475,174.931,287.451,160.559,225.727,163.114,195.385,211.018,121.269,305.613,143.578
Bern,112.717,0.0,40.978,106.506,62.06,170.184,78.172,186.484,88.974,104.524,35.367,155.884,161.059,159.505,74.117,86.182,69.341,32.811,139.757,109.204,76.358,127.134,159.992,113.493,91.211,109.121,74.632,83.944,50.011,137.575,3.382,110.979,106.456,160.448,83.153,172.552,157.534,119.787,67.243,179.764,139.757,118.039,120.567,87.697,102.169,76.19,197.925,122.775
Biel,72.26,39.309,0.0,141.752,97.306,166.025,113.418,221.73,48.518,100.365,70.613,151.724,156.899,155.346,110.524,122.589,51.292,69.218,138.388,105.044,58.309,162.38,155.832,148.739,126.457,104.962,34.176,89.634,31.962,133.415,43.078,70.523,141.702,156.289,92.435,207.798,192.78,155.034,102.489,215.01,138.388,153.285,116.407,122.944,138.576,74.562,233.172,121.406
Bouveret,214.448,105.926,142.71,0.0,52.044,120.236,31.341,98.388,190.705,54.576,76.042,105.935,64.429,109.557,180.2,56.196,131.282,138.895,241.488,45.102,138.299,35.121,110.044,17.868,15.87,59.173,176.363,42.883,113.177,87.627,102.563,212.71,1.187,110.5,40.091,84.456,69.438,31.691,46.129,91.667,241.488,20.196,92.185,25.226,112.759,77.627,109.829,224.506
Bulle,169.891,61.369,98.153,52.706,0.0,127.421,24.371,132.683,146.148,61.761,31.485,113.12,118.295,116.742,135.643,42.175,91.424,94.338,196.931,52.286,98.441,73.333,117.228,59.692,37.411,66.358,131.806,27.288,72.094,94.811,58.006,168.153,52.655,117.685,25.979,118.752,103.733,65.987,7.998,125.963,196.931,64.238,99.37,33.897,147.054,65.715,144.125,179.949
Carouge,214.325,170.305,166.315,119.865,127.279,0.0,106.576,199.843,214.026,72.972,151.277,17.057,5.618,2.835,244.579,161.568,152.372,203.273,305.866,74.58,159.389,140.493,15.332,126.852,104.57,62.16,199.683,91.085,134.268,37.493,168.275,212.587,119.814,5.39,91.703,185.911,170.892,133.146,121.364,193.122,305.866,131.397,73.03,101.051,214.214,98.717,211.284,288.884
Châtel St Denis,187.093,78.572,115.355,31.797,24.69,106.512,0.0,111.775,163.351,40.852,48.688,92.211,97.386,95.833,152.846,66.439,117.558,111.541,214.134,31.377,124.575,52.425,96.32,38.784,16.502,45.449,149.008,16.299,99.453,73.903,75.209,185.356,31.747,96.776,14.895,97.843,82.825,45.078,15.726,105.054,214.134,43.33,78.461,12.988,126.146,63.903,123.216,197.152
Crans-Montana,294.189,185.668,222.451,98.22,131.785,199.977,111.082,0.0,270.446,134.318,155.783,185.677,190.852,189.298,120.347,125.553,211.023,218.636,153.087,124.843,218.04,104.478,189.785,76.934,96.034,138.914,256.104,122.624,192.918,167.368,182.304,292.451,98.17,190.242,119.832,13.555,21.926,69.208,125.871,44.385,153.087,95.734,171.926,104.967,42.599,157.368,40.101,304.247
Delémont,28.049,87.743,47.367,190.187,145.741,212.485,161.853,270.165,0.0,146.825,119.048,198.184,203.359,201.806,158.958,171.024,57.687,117.653,136.552,151.505,66.489,210.815,202.293,197.174,174.892,151.422,16.457,138.068,78.422,179.876,91.512,26.311,190.137,202.749,140.87,256.233,241.215,203.468,150.924,263.444,136.552,201.72,162.867,171.378,187.011,121.022,281.606,119.571
Ecublens,148.764,104.744,100.754,54.304,61.718,72.159,41.015,134.282,148.465,0.0,85.717,57.858,63.033,61.48,179.018,96.007,86.812,137.713,240.305,5.703,93.829,74.932,61.966,61.291,39.009,6.664,134.123,25.525,68.707,39.549,102.714,147.026,54.254,62.423,26.143,120.35,105.332,67.585,55.804,127.561,240.305,65.837,42.561,35.49,148.653,33.157,145.723,223.324
